WMSREC    O 20210311071747PUMA                CN   Receipt Outbound                                  
RECHDA          3400576086                              PUMA           2021022402313242_420057                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    D6001                                                                                                                                                                                                                                                                                                   
RECDTA3400576086          000010                             855226010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00010                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000020                             354367220110                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00020                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000030                             354367220140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00030                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000040                             354367220170                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00040                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000050                             366487120140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00050                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000060                             366487120150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00060                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000070                             366487120170                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00070                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000080                             369503010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00080                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000090                             369503010240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00090                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000100                             366717020160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00100                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000110                             366717020180                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00110                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000120                             907136020120                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00120                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000130                             366717010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00130                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000140                             853633150150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00140                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000150                             369502070180                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00150                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000160                             365830140200                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00160                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000170                             366805010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00170                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000180                             576437510120                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00180                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000190                             580892110120                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00190                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000200                             370325070200                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00200                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000210                             372611060240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00210                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000220                             581667070150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00220                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000230                             581650010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00230                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000240                             366487080140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00240                                                                                                                                                                                                                                                                                 
RECDTA3400576086          000250                             366487080160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575262                    00250                                                                                                                                                                                                                                                                                 
