WMSREC    O 20210311072234PUMA                CN   Receipt Outbound                                  
RECHDA          3400578176                              PUMA           2021022802515883_830030                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    D6001                                                                                                                                                                                                                                                                                                   
RECDTA3400578176          000010                             354367220140                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00010                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000020                             354367220190                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00020                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000030                             354367220200                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00030                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000040                             593054060120                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00040                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000050                             366487120160                                    2                                                                                                                                                                                                                                                                                                                                                               3700577352                    00050                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000060                             366487120170                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00060                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000070                             366487120180                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00070                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000080                             366805020160                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00080                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000090                             366717010180                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00090                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000100                             853633010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00100                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000110                             853633150130                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00110                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000120                             363717050260                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00120                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000130                             853633150160                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00130                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000140                             371075010150                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00140                                                                                                                                                                                                                                                                                 
RECDTA3400578176          000150                             371075010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700577352                    00150                                                                                                                                                                                                                                                                                 
